Questions,Answers
Staffs of MCA department,"143   1 Ms. Sandhya R Associate Professor  & HOD 633
144   2 Mr. Anoopkumar M. Asst.Professor  623
145   3 Ms. Smitha K.S. Asst.Professor  624
146   4 Dr. Alby S Asst.Professor  632
147   5 Ms. Meera K Chandran Asst.Professor  631
148   6 Ms. Rini M.K. Asst.Professor  644
149   7 Ms. Dhanya Sukumaran Asst.Professor  645
150   8 Ms.Jiss Kuruvilla Asst.Professor  654
151   9 Ms.Shimi P.S. Asst.Professor  655
152   10 Ms.Nisha P.K. Asst.Professor  661
153   11 Ms.Anjali Sankar Asst.Professor  663
154   12 Ms.Sandhya C. Asst.Professor  665
155   13 Ms.Rubitha Chand Asst.Professor  666
156   14 Ms. Vincy Devi V.K. Asst.Professor  674
157   15 Mr.Jith T.S. Tradesman 629"
Staffs of NASB Department,"158   1 Dr.Satheesh Babu P.K. Professor & HOD 900
159   2 Dr. Sunilkumar P.G. Professor (NASB) & Dean (Research) 915
160   3 Mr. Savin Viswanathan Assistant Professor 903
161   4 Mr.Shallen S.V. Assistant Professor 907
162   5 Mr.Vishnu R. Assistant Professor 913
163   6 Mr.Kiran George Varghese Assistant Professor 914
164   7 Mr.Krishna Das V.R. Assistant Professor 916
165   8 Mr.Najdan Waris C.P. Assistant Professor 917
166   9 Mr.Anu Sugathan Assistant Professor 918
167   10 Ms.Geethika Dev Assistant Professor 919
168   11 Mr.Lijo Joseph Assistant Professor 920
169   12 Tinu Thomas Assistant Professor 921"
Staffs of MBA Department,"170   1 Dr. Jubel Mathew Professor & HOD 813
171   2 Ms. Milna Susan Joseph Associate Professor  803
172   3 Dr. Bhagyalekshmi P.C. Asst.Professor 806
173   4 Ms. Rajani Sunny T. Asst.Professor 812
174   5 Mr. Kiran Vijay Asst.Professor 815
175   6 Ms. Reji P.R. Asst.Professor, Maths   707
176   7 Ms. Harsha Shaji Asst.Professor 816
177   8 Ms.Jis Jose Koreath Asst.Professor 817"
Staffs of  Science & Humanities Department,"178   1 Dr.Suprabha T. Professor & HOD 717
179   2 Dr.. Preetha Varghese Professor 704
180   3 Ms. Beena T. Balan   Asst.Professor, Maths 705
181   4 Ms. Deepthi V.S. Asst.Professor, Maths 706
182   5 Ms. Silgy E.G. Asst.Professor, Maths 708
183   6 Ms. K. Manju Krishna Asst.Professor, Maths  709
184   7 Ms. Gisha G.R. Asst.Professor, Maths 710
185   8 Mr. VijeshV.V. Asst.Professor, Maths 720
186   9 Ms.Remya C. Soman Asst.Professor, Maths 721
187   10 Ms.Anju Surendran  Asst.Professor, Maths 726
188   11 Ms.Manju S.C. Asst.Professor, Maths 728
189   12 Mr. Arun Rajan Asst.Professor, Physics 711
190   13 Ms. Jitha T.S. Asst.Professor, Economics 723"
Staffs in Office,"192   1 Mr. Ajayan E.A. Administrative Officer 141
193   2 Mr. Lidhishkumar M.S.  Chief Accountant 104
194   3 Mr. Binoy K.T. Office Assistant (Grade-1) 105
195   4 Ms. Surya K.S.  Office Assistant (Grade-1) 106
196   5 Ms. Honey Bose  Office Assistant (Grade-1) 107
197   6 Ms. Reji Rajan M.  Office Assistant ( Grade I ) 108
198   7 Ms. Sangeetha K.N.  Office Assistant ( Grade I ) 109
199   8 Ms. Rakke Raj  Office Assistant ( Grade I ) 110
200   9 Mr. Rajagopalan  C.G. Office Assistant ( Grade II ) ( on Leave) 115
201   10 Mr. Aneesh G.  Office Assistant ( Grade II ) (Library) 111
202   11 Mr.Devaraj D. Office Assistant ( Grade II ) 146
203   12 Ms.Anju Prakash K. Office Assistant ( Grade II ) 147
204   13 Mr.Akhin Sivadas Office Assistant ( Grade II ) 157
205   14 Mr.Manu Mohan P. Office Assistant ( Grade II ) 158
206   15 Ms.Reeja Ramakrishnan  Receptionist 135
207   16 Ms. Minimole P.K.  Peon-Grade-1 118
208   17 Ms.Kumari T.V.  Peon-Grade-1 117
209   18 Ms. Reena N.S.  Peon-Grade-1 119
210   19 Mr.Lalu V.S. Peon-Grade-II (Library) 120
211   20 Mr.Shanmughan  T.T. Peon-Grade-II 121
212   21 Mr.Shinu K.Prabhakaran Peon-Grade-II 122
213   22 Mr. Anish P.Velayudhan Peon-Grade-II 123
214   23 Ms.Nimisha P.R. Peon / Nurse 150
215   24 Ms.Shyla T.N. Peon-Grade-II  153
216   25 Mr. Praveen M. Mohan Electrician cum Pump operator 139
217   26 Ms. Sarala M. A. Sweeper (full time) 145"
Staffs in  Library,"218   1 Mr. Sunilkumar P.G.  Librarian Gr.I 112
219   2 Ms. Lakshmi T.R.  Librarian Gr.III 113
220   3 Ms. Rani  P. Vasudevan Librarian Gr.III 114
221   4 Ms. Nisha K.S. Librarian Gr.III 116
222   5 Ms. Shaly Chandran  Librarian Gr.III 140"
Staffs in Transport,"223   1 Mr. Sukumaran V.G. Driver-Grade-1 126
224   2 Mr. Laiju M.R. Driver-Grade-1 125
225   3 Mr. Ullas P.P. Driver-Grade-1 127
226   4 Mr. Rajesh P.R.  Driver 128
227   5 Mr.Vinu P.V. Driver 130
228   6 Mr. Sasidharan A.K.  Driver(contract) 132
229   7 Mr. Anilkumar E.T.  Driver 134
230   8 Mr.Praveen E.D.  Driver(SNG Trust) 133
231   9 Mr. P.V. Roy Driver(contract) 144
232   10 Mr.Sreejith P.S. Driver-Sp.Duty 161
233   11 Mr. Sathish M.M. Driver-Sp.Duty 131
234   12 Mr. Biju K.M. Driver- Prl duty 151
235   13 Mr. Aravindakshan K.N. Driver 162"
Apply for financial Aid,http://www.sngce.ac.in/web_assets/scholarship/scholarship.pdf
Scholorship Details,http://www.sngce.ac.in/web_assets/scholarship/scholarship.pdf
Apply for Hostel Accomodation,http://www.sngce.ac.in/hostel_form
Online hostel accomodation,http://www.sngce.ac.in/hostel_form
Apply Guest house for parents,http://www.sngce.ac.in/students/guest_house_for_parents
Apply for internship,http://www.sngce.ac.in/students/internship
Established year,2002
Campus Size,25Acres
Total Students Enrollment,1880
Accrediation,NAAC B
Genders Accepted,Co-Ed
mca Syllabus,https://ktu.edu.in/eu/att/attachments.htm?download=file&id=LW%2BGVn6EEm2U4Na8d4RQUWxqDw5RW9lv6ZKD9zyeHwc%3D
MCA Curriculum,https://ktu.edu.in/eu/att/attachments.htm?download=file&id=RI09RSJY%2B1XPQmKJalyFty3glKIVDugrYqiUZrRx5Ho%3D
RLMCA102 OBJECT ORIENTED PROGRAMMING question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1011/Object%20Oriented%20Programming%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA206 MOBILE COMPUTING question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1010/Mobile%20Computing%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA208 INTRODUCTION TO MACHINE LEARNING question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1009/Introduction%20to%20Machine%20Learning%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA104: DATA STRUCTURES question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1008/Data%20Structures%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA 204: BIG DATA TECHNOLOGIES question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1007/Big%20Data%20Technologues%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA202 Course Name: APPLICATION DEVELOPMENT AND MAINTENANCE question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1006/Application%20Development%20and%20Maintenance%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA266 Course Name: ADVANCED DATABASE SYSTEMS question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/1005/Advanced%20Database%20Systems%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA108 Course Name: OPERATIONS RESEARCH question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/311/OPERATIONS%20RESEARCH%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA102 Course Name: OBJECT ORIENTED PROGRAMMING question paper,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/310/OBJECT%20ORIENTED%20PROGRAMMING%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA206 Course Name: MOBILE COMPUTING,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/309/MOBILE%20COMPUTING%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA208 Course Name: INTRODUCTION TO MACHINE LEARNING,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/308/INTRODUCTION%20TO%20MACHINE%20LEARNING%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA104 Course Name: DATA STRUCTURES,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/307/DATA%20STRUCTURES%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA112 Course Name: COMPUTER ORGANIZATION AND ARCHITECTURE,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/306/COMPUTER%20ORGANIZATION%20AND%20ARCHITECTURE%20S2%20MCA%20KTU%202017.pdf?sequence=1&isAllowed=y
Course Code: RLMCA 204 Course Name: BIG DATA TECHNOLOGIES,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/305/BIG%20DATA%20TECHNOLOGIES%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA266 : ADVANCED DATABASE SYSTEMS,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/303/ADVANCED%20DATABASE%20SYSTEMS%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA 202: APPLICATION DEVELOPMENT&MAINTENENCE,http://202.88.229.59:8080/xmlui/bitstream/handle/123456789/304/APPLICATION%20DEVELOPMENT%26MAINTENENCE%20S2%20LMCA%20KTU%202017.pdf?sequence=1&isAllowed=y
RLMCA 301 WEB DATA MINING,https://drive.google.com/open?id=1uWWiEqdOuX4DkrnFfkWzFDBuX_oKRyg2
RLMCA 381 CLOUD COMPUTING,https://drive.google.com/open?id=1t1zLUj_dJv_WxweNtmpazvN7IwA3ZQ2H
MCA Fee Structure,25000 approximate
Principal Name ,Dr. Prof Kemthose p. Paul
